compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start,lap_end_duration,fastest_lap_duration
INTERMEDIATE,11,28.0,20.0,1240,9558,2,0.0,105.224,101.997
INTERMEDIATE,1,38.0,27.0,1240,9558,2,0.0,95.963,95.963
INTERMEDIATE,3,37.0,27.0,1240,9558,2,0.0,100.483,100.483
INTERMEDIATE,22,38.0,28.0,1240,9558,2,0.0,98.67,98.67
INTERMEDIATE,11,37.0,29.0,1240,9558,3,0.0,99.697,99.697
SOFT,3,51.0,38.0,1240,9558,3,0.0,94.814,90.735
HARD,1,52.0,39.0,1240,9558,3,0.0,89.089,88.952
MEDIUM,11,47.0,38.0,1240,9558,4,0.0,90.795,90.136
SOFT,22,52.0,39.0,1240,9558,3,0.0,92.09,90.229
SOFT,11,50.0,48.0,1240,9558,5,0.0,89.707,89.707
MEDIUM,1,21.0,1.0,1241,9566,1,0.0,87.027,83.979
MEDIUM,22,29.0,1.0,1241,9566,1,0.0,88.185,84.541
MEDIUM,3,7.0,1.0,1241,9566,1,0.0,86.3,85.717
HARD,11,28.0,1.0,1241,9566,1,0.0,88.128,84.197
HARD,3,28.0,8.0,1241,9566,2,0.0,88.132,84.708
HARD,1,49.0,22.0,1241,9566,2,0.0,86.468,82.655
MEDIUM,11,47.0,29.0,1241,9566,2,0.0,85.878,82.197
HARD,3,69.0,29.0,1241,9566,3,0.0,88.092,82.64
HARD,22,70.0,30.0,1241,9566,2,0.0,84.741,83.533
MEDIUM,11,70.0,48.0,1241,9566,3,0.0,83.447,81.096
MEDIUM,1,70.0,50.0,1241,9566,3,0.0,83.253,80.908
MEDIUM,22,15.0,1.0,1242,9574,1,0.0,116.408,110.858
MEDIUM,1,10.0,1.0,1242,9574,1,0.0,114.655,109.828
SOFT,3,8.0,1.0,1242,9574,1,0.0,115.595,110.314
MEDIUM,11,11.0,1.0,1242,9574,1,0.0,114.844,109.637
MEDIUM,3,21.0,9.0,1242,9574,2,0.0,114.387,109.471
HARD,1,28.0,11.0,1242,9574,2,0.0,112.026,107.431
MEDIUM,11,21.0,12.0,1242,9574,2,0.0,114.682,108.305
HARD,22,44.0,16.0,1242,9574,2,1.0,107.969,107.969
HARD,11,42.0,22.0,1242,9574,3,0.0,112.866,107.223
HARD,3,44.0,22.0,1242,9574,3,1.0,107.675,107.435
MEDIUM,1,44.0,29.0,1242,9574,3,0.0,106.899,106.128
SOFT,11,44.0,43.0,1242,9574,4,0.0,104.701,104.701
MEDIUM,1,27.0,1.0,1243,9582,1,0.0,79.89,75.946
SOFT,22,14.0,1.0,1243,9582,1,0.0,81.182,76.551
MEDIUM,3,29.0,1.0,1243,9582,1,0.0,81.621,77.076
MEDIUM,11,29.0,1.0,1243,9582,1,0.0,80.183,76.361
MEDIUM,22,32.0,15.0,1243,9582,2,0.0,79.729,75.552
HARD,1,72.0,28.0,1243,9582,2,0.0,75.889,74.752
HARD,11,72.0,30.0,1243,9582,2,0.0,74.956,74.587
HARD,3,71.0,30.0,1243,9582,2,0.0,76.216,75.222
HARD,22,71.0,33.0,1243,9582,3,0.0,76.39,75.561
HARD,22,7.0,1.0,1244,9590,1,1.0,100.319,86.198
HARD,11,23.0,1.0,1244,9590,1,0.0,89.869,84.654
HARD,1,22.0,1.0,1244,9590,1,0.0,89.668,84.918
HARD,1,41.0,23.0,1244,9590,2,0.0,88.738,83.424
HARD,11,35.0,24.0,1244,9590,2,0.0,88.255,83.473
MEDIUM,11,53.0,36.0,1244,9590,3,0.0,84.511,82.971
MEDIUM,1,53.0,42.0,1244,9590,3,0.0,83.711,81.745
MEDIUM,22,12.0,1.0,1245,9598,1,1.0,121.304,110.887
MEDIUM,11,13.0,1.0,1245,9598,1,0.0,113.398,107.826
MEDIUM,1,12.0,1.0,1245,9598,1,0.0,114.511,108.448
HARD,1,49.0,13.0,1245,9598,2,0.0,112.022,106.798
HARD,22,14.0,13.0,1245,9598,2,1.0,125.9,125.9
HARD,11,49.0,14.0,1245,9598,2,0.0,108.45,107.013
SOFT,1,51.0,50.0,1245,9598,3,3.0,153.336,153.336
MEDIUM,22,33.0,1.0,1246,9606,1,0.0,107.942,98.861
MEDIUM,11,28.0,1.0,1246,9606,1,0.0,107.385,98.357
MEDIUM,1,29.0,1.0,1246,9606,1,0.0,107.873,97.593
HARD,11,61.0,29.0,1246,9606,2,0.0,98.274,97.477
HARD,1,62.0,30.0,1246,9606,2,0.0,96.931,95.967
SOFT,22,61.0,34.0,1246,9606,2,0.0,98.95,96.393
MEDIUM,22,18.0,1.0,1247,9617,1,0.0,102.676,100.953
MEDIUM,11,26.0,1.0,1247,9617,1,0.0,100.789,100.115
MEDIUM,1,25.0,1.0,1247,9617,1,0.0,100.718,99.731
HARD,30,36.0,1.0,1247,9617,1,0.0,101.342,100.235
HARD,22,55.0,19.0,1247,9617,2,0.0,99.379,99.193
HARD,1,56.0,26.0,1247,9617,2,0.0,99.018,98.117
HARD,11,56.0,27.0,1247,9617,2,0.0,99.57,98.514
MEDIUM,30,56.0,37.0,1247,9617,2,0.0,99.273,98.091
HARD,30,39.0,1.0,1248,9625,1,0.0,86.308,82.693
MEDIUM,1,26.0,1.0,1248,9625,1,0.0,85.562,81.442
HARD,1,71.0,27.0,1248,9625,2,0.0,81.57,80.872
MEDIUM,30,65.0,40.0,1248,9625,2,0.0,91.102,81.302
SOFT,30,70.0,66.0,1248,9625,3,0.0,85.016,79.502
INTERMEDIATE,30,28.0,1.0,1249,9636,1,0.0,113.045,84.034
INTERMEDIATE,1,32.0,1.0,1249,9636,1,0.0,158.629,83.43
INTERMEDIATE,22,28.0,1.0,1249,9636,1,3.0,117.034,84.163
WET,22,32.0,29.0,1249,9636,2,0.0,163.084,114.797
WET,30,32.0,29.0,1249,9636,2,0.0,158.789,112.061
INTERMEDIATE,1,69.0,33.0,1249,9636,2,0.0,81.322,80.472
INTERMEDIATE,22,69.0,33.0,1249,9636,3,3.0,81.828,81.828
INTERMEDIATE,30,69.0,33.0,1249,9636,3,3.0,82.533,82.123
MEDIUM,1,11.0,1.0,1250,9644,1,0.0,104.351,98.472
MEDIUM,22,10.0,1.0,1250,9644,1,0.0,105.973,99.071
MEDIUM,30,11.0,1.0,1250,9644,1,0.0,106.707,99.404
HARD,22,29.0,11.0,1250,9644,2,0.0,104.582,98.177
HARD,1,27.0,12.0,1250,9644,2,0.0,103.108,97.524
HARD,30,38.0,12.0,1250,9644,2,1.0,105.262,98.737
HARD,1,50.0,28.0,1250,9644,3,0.0,97.21,96.248
HARD,22,50.0,30.0,1250,9644,3,1.0,98.064,96.957
HARD,30,50.0,39.0,1250,9644,3,1.0,97.519,96.98
MEDIUM,22,35.0,1.0,1251,9655,1,0.0,121.862,86.33
MEDIUM,30,35.0,1.0,1251,9655,1,0.0,123.205,86.194
MEDIUM,1,35.0,1.0,1251,9655,1,0.0,92.307,84.35
HARD,1,36.0,36.0,1251,9655,2,0.0,169.155,169.155
HARD,22,36.0,36.0,1251,9655,2,0.0,143.242,143.242
HARD,30,36.0,36.0,1251,9655,2,0.0,159.436,159.436
HARD,1,37.0,37.0,1251,9655,3,1.0,168.652,168.652
HARD,22,37.0,37.0,1251,9655,3,1.0,118.996,118.996
HARD,30,37.0,37.0,1251,9655,3,1.0,115.739,115.739
HARD,1,57.0,38.0,1251,9655,4,0.0,83.776,82.905
HARD,22,40.0,38.0,1251,9655,4,2.0,119.241,119.241
HARD,30,40.0,38.0,1251,9655,4,0.0,120.647,120.647
SOFT,22,57.0,41.0,1251,9655,5,0.0,87.125,86.144
SOFT,30,57.0,41.0,1251,9655,5,0.0,86.522,86.076
MEDIUM,30,23.0,1.0,1252,9662,1,0.0,94.497,89.738
MEDIUM,1,29.0,1.0,1252,9662,1,0.0,91.857,89.412
MEDIUM,22,22.0,1.0,1252,9662,1,0.0,92.597,90.115
HARD,22,57.0,23.0,1252,9662,2,0.0,89.531,89.2
HARD,30,24.0,24.0,1252,9662,2,0.0,116.467,116.467
HARD,30,29.0,25.0,1252,9662,3,1.0,92.322,89.585
HARD,1,58.0,30.0,1252,9662,2,0.0,88.78,87.765
HARD,30,55.0,30.0,1252,9662,4,6.0,89.184,88.751
INTERMEDIATE,22,2.0,1.0,1254,9693,1,0.0,168.219,130.964
INTERMEDIATE,1,2.0,1.0,1254,9693,1,0.0,169.322,119.704
INTERMEDIATE,30,2.0,1.0,1254,9693,3,0.0,169.299,149.147
INTERMEDIATE,1,3.0,2.0,1254,9693,2,2.0,162.145,162.145
INTERMEDIATE,22,3.0,2.0,1254,9693,2,2.0,162.92,162.92
INTERMEDIATE,30,3.0,2.0,1254,9693,4,2.0,165.341,165.341
INTERMEDIATE,1,4.0,3.0,1254,9693,3,0.0,155.775,155.775
INTERMEDIATE,22,4.0,3.0,1254,9693,3,0.0,155.195,155.195
INTERMEDIATE,30,4.0,3.0,1254,9693,5,3.0,160.393,160.393
INTERMEDIATE,1,34.0,4.0,1254,9693,4,0.0,128.598,88.046
INTERMEDIATE,22,33.0,4.0,1254,9693,4,0.0,110.651,90.031
INTERMEDIATE,30,33.0,4.0,1254,9693,6,0.0,128.342,90.803
MEDIUM,22,47.0,33.0,1254,9693,5,0.0,153.312,84.194
MEDIUM,30,46.0,33.0,1254,9693,7,0.0,99.457,82.97
MEDIUM,1,46.0,34.0,1254,9693,5,0.0,112.606,83.081
INTERMEDIATE,1,57.0,46.0,1254,9693,6,0.0,87.4,87.4
INTERMEDIATE,22,57.0,47.0,1254,9693,6,0.0,91.511,91.511
MEDIUM,22,11.0,1.0,1255,9998,1,0.0,103.845,98.748
MEDIUM,1,13.0,1.0,1255,9998,1,0.0,102.61,98.302
MEDIUM,6,12.0,1.0,1255,9998,1,0.0,103.647,98.746
HARD,22,35.0,12.0,1255,9998,2,0.0,102.522,97.646
HARD,6,33.0,13.0,1255,9998,2,0.0,102.744,97.675
HARD,1,56.0,14.0,1255,9998,2,0.0,95.488,95.488
HARD,6,56.0,34.0,1255,9998,3,0.0,97.695,95.868
HARD,22,46.0,36.0,1255,9998,3,0.0,106.754,96.499
MEDIUM,22,55.0,47.0,1255,9998,4,6.0,97.3,95.871
MEDIUM,6,25.0,1.0,1256,10006,1,0.0,96.218,93.637
MEDIUM,1,21.0,1.0,1256,10006,1,0.0,95.22,93.064
MEDIUM,22,23.0,1.0,1256,10006,1,0.0,96.396,94.02
HARD,1,53.0,22.0,1256,10006,2,0.0,91.548,91.041
HARD,22,53.0,24.0,1256,10006,2,0.0,92.088,91.871
HARD,6,53.0,26.0,1256,10006,2,0.0,91.5,91.317
SOFT,22,11.0,1.0,1257,10014,1,3.0,102.023,98.565
SOFT,6,6.0,1.0,1257,10014,1,0.0,102.366,99.603
SOFT,1,10.0,1.0,1257,10014,1,3.0,103.293,98.403
MEDIUM,6,28.0,7.0,1257,10014,2,0.0,102.076,97.392
HARD,1,26.0,11.0,1257,10014,2,0.0,102.488,97.204
MEDIUM,22,32.0,12.0,1257,10014,2,0.0,123.721,98.009
MEDIUM,1,57.0,27.0,1257,10014,3,0.0,97.662,96.167
HARD,6,57.0,29.0,1257,10014,3,0.0,98.496,96.952
SOFT,22,57.0,33.0,1257,10014,3,0.0,98.861,97.225
MEDIUM,22,1.0,1.0,1258,10022,1,0.0,166.056,166.056
MEDIUM,1,21.0,1.0,1258,10022,1,0.0,96.5,93.511
HARD,6,34.0,1.0,1258,10022,1,0.0,96.999,94.092
HARD,1,50.0,22.0,1258,10022,2,0.0,92.453,92.28
MEDIUM,6,50.0,35.0,1258,10022,2,0.0,93.624,93.257
MEDIUM,1,32.0,1.0,1259,10033,1,24.0,91.781,91.025
MEDIUM,22,32.0,1.0,1259,10033,1,24.0,93.002,91.531
HARD,6,57.0,24.0,1259,10033,2,1.0,91.313,90.971
HARD,22,57.0,33.0,1259,10033,2,5.0,91.051,90.964
HARD,1,57.0,33.0,1259,10033,2,6.0,90.986,90.466
MEDIUM,30,10.0,1.0,1260,9987,1,0.0,86.2,81.798
MEDIUM,1,29.0,1.0,1260,9987,1,0.0,92.728,80.856
MEDIUM,6,29.0,1.0,1260,9987,1,0.0,106.215,81.233
HARD,30,29.0,11.0,1260,9987,2,0.0,115.803,81.245
HARD,1,46.0,30.0,1260,9987,2,0.0,94.977,79.513
HARD,6,46.0,30.0,1260,9987,2,0.0,114.69,80.295
HARD,1,63.0,47.0,1260,9987,3,0.0,78.589,77.988
HARD,6,63.0,47.0,1260,9987,3,0.0,80.601,79.473
HARD,30,63.0,30.0,1260,9987,3,0.0,80.949,80.473
MEDIUM,6,13.0,1.0,1261,9979,1,0.0,77.088,77.088
SOFT,6,18.0,14.0,1261,9979,2,3.0,76.372,75.981
HARD,1,27.0,1.0,1261,9979,1,0.0,76.323,75.035
MEDIUM,30,30.0,1.0,1261,9979,1,6.0,76.607,76.607
SOFT,30,39.0,31.0,1261,9979,2,3.0,75.8,75.8
MEDIUM,1,76.0,28.0,1261,9979,2,0.0,76.468,74.23
SOFT,1,78.0,77.0,1261,9979,3,3.0,77.77,77.77
HARD,6,77.0,19.0,1261,9979,3,1.0,76.798,76.044
HARD,30,77.0,40.0,1261,9979,3,1.0,76.63,75.321
SOFT,1,13.0,1.0,1262,9971,1,3.0,86.03,80.083
SOFT,30,18.0,1.0,1262,9971,1,0.0,87.446,81.967
SOFT,6,19.0,1.0,1262,9971,1,3.0,86.307,81.647
SOFT,1,29.0,14.0,1262,9971,2,0.0,84.509,79.45
MEDIUM,30,44.0,19.0,1262,9971,2,0.0,84.71,80.771
MEDIUM,1,47.0,30.0,1262,9971,3,0.0,83.558,78.216
MEDIUM,6,48.0,20.0,1262,9971,2,0.0,84.323,80.651
SOFT,1,55.0,48.0,1262,9971,4,3.0,94.644,77.141
SOFT,6,55.0,49.0,1262,9971,3,0.0,110.63,79.595
HARD,1,66.0,56.0,1262,9971,5,0.0,78.081,77.019
SOFT,6,66.0,56.0,1262,9971,4,3.0,78.961,77.77
SOFT,30,66.0,45.0,1262,9971,3,0.0,80.015,79.424
MEDIUM,1,11.0,1.0,1263,9963,1,3.0,76.991,75.901
MEDIUM,6,12.0,1.0,1263,9963,1,0.0,79.153,77.198
HARD,1,36.0,12.0,1263,9963,2,0.0,76.123,75.464
HARD,30,37.0,1.0,1263,9963,1,1.0,78.193,77.352
MEDIUM,30,53.0,38.0,1263,9963,2,0.0,77.891,76.32
HARD,1,66.0,37.0,1263,9963,3,0.0,74.394,74.287
HARD,6,65.0,13.0,1263,9963,2,1.0,77.538,76.292
HARD,1,67.0,67.0,1263,9963,4,0.0,103.478,103.478
SOFT,6,66.0,66.0,1263,9963,3,3.0,121.476,121.476
HARD,1,68.0,68.0,1263,9963,5,0.0,125.276,125.276
SOFT,6,67.0,67.0,1263,9963,4,0.0,115.651,115.651
HARD,1,70.0,69.0,1263,9963,6,32.0,126.683,123.745
SOFT,6,69.0,68.0,1263,9963,5,0.0,117.112,102.898
SOFT,6,2.0,1.0,1264,9955,1,0.0,102.317,102.317
MEDIUM,22,18.0,1.0,1264,9955,1,0.0,75.031,70.949
MEDIUM,6,28.0,3.0,1264,9955,2,0.0,74.834,70.974
HARD,22,30.0,19.0,1264,9955,2,0.0,79.039,70.539
MEDIUM,30,32.0,1.0,1264,9955,1,0.0,75.289,70.941
MEDIUM,22,60.0,31.0,1264,9955,3,0.0,74.033,70.015
SOFT,22,68.0,61.0,1264,9955,4,0.0,69.806,69.802
HARD,6,69.0,29.0,1264,9955,3,0.0,71.119,70.204
HARD,30,70.0,33.0,1264,9955,2,0.0,71.058,69.977
INTERMEDIATE,30,1.0,1.0,1265,9939,1,0.0,198.805,198.805
INTERMEDIATE,6,1.0,1.0,1265,9939,1,0.0,197.274,197.274
INTERMEDIATE,22,1.0,1.0,1265,9939,1,0.0,196.04,196.04
MEDIUM,6,13.0,2.0,1265,9939,2,0.0,125.678,121.255
MEDIUM,22,13.0,2.0,1265,9939,2,0.0,127.153,120.831
MEDIUM,30,12.0,2.0,1265,9939,2,0.0,127.696,121.212
HARD,6,43.0,14.0,1265,9939,3,3.0,107.667,107.667
MEDIUM,30,44.0,13.0,1265,9939,3,0.0,107.142,106.649
MEDIUM,22,44.0,14.0,1265,9939,3,0.0,108.375,107.241
MEDIUM,22,20.0,1.0,1266,9928,1,0.0,88.115,83.424
MEDIUM,6,33.0,1.0,1266,9928,1,0.0,85.543,83.116
SOFT,22,37.0,21.0,1266,9928,2,0.0,85.309,81.331
MEDIUM,30,40.0,1.0,1266,9928,1,0.0,85.076,82.279
HARD,6,69.0,34.0,1266,9928,2,0.0,81.624,80.802
HARD,22,69.0,38.0,1266,9928,3,0.0,83.201,81.18
HARD,30,70.0,41.0,1266,9928,2,0.0,81.44,80.457
MEDIUM,30,23.0,1.0,1267,9920,1,0.0,96.821,76.153
MEDIUM,6,23.0,1.0,1267,9920,1,0.0,92.01,75.539
SOFT,1,23.0,1.0,1267,9920,1,0.0,90.929,75.648
SOFT,22,19.0,1.0,1267,9920,1,0.0,80.019,76.636
HARD,22,53.0,20.0,1267,9920,2,0.0,103.703,75.319
HARD,6,53.0,24.0,1267,9920,2,0.0,88.722,74.533
MEDIUM,1,53.0,24.0,1267,9920,2,0.0,87.371,74.741
HARD,30,27.0,24.0,1267,9920,2,0.0,124.543,96.652
SOFT,30,52.0,28.0,1267,9920,3,3.0,102.655,75.37
SOFT,1,72.0,54.0,1267,9920,3,0.0,73.377,72.921
SOFT,6,72.0,54.0,1267,9920,3,2.0,73.547,73.327
SOFT,30,72.0,53.0,1267,9920,4,3.0,74.24,73.879
SOFT,22,72.0,54.0,1267,9920,3,3.0,75.088,74.354
SOFT,30,9.0,1.0,1268,9912,1,0.0,88.824,84.656
MEDIUM,22,19.0,1.0,1268,9912,1,0.0,88.943,84.35
HARD,6,32.0,1.0,1268,9912,1,1.0,88.342,83.389
MEDIUM,1,37.0,1.0,1268,9912,1,0.0,87.432,82.651
HARD,1,53.0,38.0,1268,9912,2,0.0,81.1,81.003
MEDIUM,6,53.0,33.0,1268,9912,2,0.0,82.536,82.133
HARD,22,53.0,20.0,1268,9912,2,0.0,83.125,82.712
HARD,30,53.0,10.0,1268,9912,2,0.0,83.623,82.777
MEDIUM,30,20.0,1.0,1269,9904,1,6.0,109.664,106.258
MEDIUM,6,29.0,1.0,1269,9904,1,4.0,109.3,106.017
HARD,22,38.0,1.0,1269,9904,1,0.0,108.763,104.952
HARD,1,40.0,1.0,1269,9904,1,0.0,108.754,104.653
MEDIUM,1,51.0,41.0,1269,9904,2,4.0,104.556,103.388
HARD,30,51.0,21.0,1269,9904,2,1.0,104.899,104.531
MEDIUM,22,51.0,39.0,1269,9904,2,6.0,104.748,104.434
HARD,6,51.0,30.0,1269,9904,2,1.0,104.246,103.884
SOFT,22,13.0,1.0,1270,9896,1,0.0,105.142,98.949
SOFT,1,19.0,1.0,1270,9896,1,3.0,103.287,97.136
SOFT,6,20.0,1.0,1270,9896,1,2.0,104.812,98.093
MEDIUM,30,48.0,1.0,1270,9896,1,0.0,106.869,98.103
HARD,1,62.0,20.0,1270,9896,2,0.0,96.479,95.649
HARD,6,61.0,21.0,1270,9896,2,0.0,97.662,96.938
HARD,22,61.0,14.0,1270,9896,2,0.0,97.243,96.831
SOFT,30,61.0,49.0,1270,9896,2,0.0,95.641,95.641
HARD,6,28.0,1.0,1271,9888,1,0.0,101.674,101.031
MEDIUM,22,29.0,1.0,1271,9888,1,0.0,102.402,100.057
MEDIUM,30,30.0,1.0,1271,9888,1,0.0,101.587,100.789
MEDIUM,1,33.0,1.0,1271,9888,1,0.0,101.408,99.203
SOFT,1,56.0,34.0,1271,9888,2,2.0,98.26,97.991
SOFT,22,56.0,30.0,1271,9888,2,0.0,98.873,98.803
SOFT,30,56.0,31.0,1271,9888,2,0.0,99.567,98.983
SOFT,6,56.0,29.0,1271,9888,2,0.0,99.129,98.724
SOFT,30,2.0,1.0,1272,9877,1,0.0,91.076,91.076
HARD,30,5.0,3.0,1272,9877,2,0.0,93.491,85.124
MEDIUM,6,34.0,1.0,1272,9877,1,0.0,87.423,82.974
MEDIUM,22,36.0,1.0,1272,9877,1,0.0,87.065,82.832
MEDIUM,1,37.0,1.0,1272,9877,1,0.0,87.255,82.538
SOFT,6,70.0,35.0,1272,9877,2,3.0,103.978,81.714
SOFT,1,71.0,38.0,1272,9877,2,3.0,95.021,81.108
SOFT,22,71.0,37.0,1272,9877,2,0.0,81.899,81.486
HARD,22,2.0,1.0,1273,9869,1,0.0,119.58,85.88
HARD,1,7.0,1.0,1273,9869,1,0.0,107.461,78.495
SOFT,6,18.0,1.0,1273,9869,1,3.0,79.726,74.553
SOFT,30,19.0,1.0,1273,9869,1,3.0,79.832,74.318
MEDIUM,22,24.0,3.0,1273,9869,2,0.0,79.809,74.911
MEDIUM,1,34.0,8.0,1273,9869,2,0.0,79.344,73.049
MEDIUM,6,37.0,19.0,1273,9869,2,6.0,78.786,74.254
MEDIUM,30,71.0,20.0,1273,9869,2,0.0,77.103,74.029
MEDIUM,22,47.0,25.0,1273,9869,3,0.0,78.697,74.019
MEDIUM,1,54.0,35.0,1273,9869,3,0.0,77.514,73.307
MEDIUM,6,71.0,38.0,1273,9869,3,0.0,77.118,73.694
MEDIUM,22,71.0,48.0,1273,9869,4,0.0,74.414,72.774
SOFT,1,71.0,55.0,1273,9869,4,0.0,73.699,72.447
MEDIUM,6,20.0,1.0,1274,9858,1,0.0,102.417,97.012
MEDIUM,1,25.0,1.0,1274,9858,1,0.0,100.284,95.574
MEDIUM,22,1.0,1.0,1274,9858,1,0.0,118.106,118.106
MEDIUM,30,2.0,1.0,1274,9858,1,0.0,137.377,106.637
HARD,22,27.0,2.0,1274,9858,2,0.0,101.343,96.434
HARD,30,28.0,3.0,1274,9858,2,0.0,102.231,96.713
HARD,6,50.0,21.0,1274,9858,2,0.0,94.62,94.62
HARD,1,50.0,26.0,1274,9858,2,0.0,93.365,93.365
MEDIUM,22,50.0,28.0,1274,9858,3,0.0,95.176,94.967
HARD,30,49.0,29.0,1274,9858,3,0.0,94.902,94.837
MEDIUM,6,7.0,1.0,1275,9850,1,0.0,106.437,87.917
MEDIUM,1,7.0,1.0,1275,9850,1,0.0,102.211,86.843
MEDIUM,22,7.0,1.0,1275,9850,1,0.0,109.215,88.323
MEDIUM,30,7.0,1.0,1275,9850,1,0.0,109.397,88.006
MEDIUM,1,32.0,8.0,1275,9850,2,0.0,89.369,85.359
MEDIUM,6,32.0,8.0,1275,9850,2,0.0,90.549,86.425
MEDIUM,30,32.0,8.0,1275,9850,2,0.0,91.451,86.816
MEDIUM,22,32.0,8.0,1275,9850,2,0.0,91.141,86.974
HARD,1,57.0,33.0,1275,9850,3,0.0,84.968,83.498
HARD,6,55.0,33.0,1275,9850,3,0.0,158.927,84.317
HARD,22,57.0,33.0,1275,9850,3,0.0,84.139,84.139
HARD,30,57.0,33.0,1275,9850,3,0.0,84.055,83.971
MEDIUM,6,14.0,1.0,1276,9839,1,0.0,92.759,90.078
MEDIUM,1,23.0,1.0,1276,9839,1,0.0,91.365,89.117
MEDIUM,30,21.0,1.0,1276,9839,1,0.0,95.813,90.219
HARD,22,32.0,1.0,1276,9839,1,0.0,91.781,89.949
HARD,6,57.0,15.0,1276,9839,2,0.0,90.979,89.375
HARD,30,57.0,22.0,1276,9839,2,0.0,89.022,88.886
HARD,1,58.0,24.0,1276,9839,2,0.0,88.473,87.625
MEDIUM,22,58.0,33.0,1276,9839,2,0.0,89.566,88.557
MEDIUM,6,10.0,1.0,1277,9947,1,0.0,102.691,101.705
INTERMEDIATE,22,11.0,1.0,1277,9947,1,0.0,111.245,106.058
INTERMEDIATE,6,17.0,11.0,1277,9947,2,0.0,168.551,108.339
INTERMEDIATE,22,41.0,12.0,1277,9947,2,0.0,103.258,103.258
MEDIUM,22,51.0,42.0,1277,9947,3,0.0,91.565,90.873
